sample_id	participant_id	sample_type
slide1section1contraCN	MG240214	tissue
slide1section1ipsiCN	MG240214	tissue
slide1section2contraCN	MG240214	tissue
slide1section2ipsiCN	MG240214	tissue
slide1section3contraCN	MG240214	tissue
slide1section3ipsiCN	MG240214	tissue
slide1section4contraCN	MG240214	tissue
slide1section4ipsiCN	MG240214	tissue
slide1section5contraCN	MG240214	tissue
slide1section5ipsiCN	MG240214	tissue
slide1section6contraCN	MG240214	tissue
slide1section6ipsiCN	MG240214	tissue
slide1section6IC	MG240214	tissue
slide1section7contraCN	MG240214	tissue
slide1section7ipsiCN	MG240214	tissue
slide1section7IC	MG240214	tissue
slide1section8contraCN	MG240214	tissue
slide1section8ipsiCN	MG240214	tissue
slide1section8IC	MG240214	tissue
slide2section10contraIC	MG240214	tissue
slide2section10ipsiIC	MG240214	tissue
slide2section1contraCN	MG240214	tissue
slide2section1ipsiCN	MG240214	tissue
slide2section1IC	MG240214	tissue
slide2section2ipsiCN	MG240214	tissue
slide2section2IC	MG240214	tissue
slide2section3ipsiCN	MG240214	tissue
slide2section3IC	MG240214	tissue
slide2section4ipsiCN	MG240214	tissue
slide2section4IC	MG240214	tissue
slide2section5ipsiCN	MG240214	tissue
slide2section5IC	MG240214	tissue
slide2section6IC	MG240214	tissue
slide2section7contraIC	MG240214	tissue
slide2section7ipsiIC	MG240214	tissue
slide2section8contraIC	MG240214	tissue
slide2section8ipsiIC	MG240214	tissue
slide2section9contraIC	MG240214	tissue
slide2section9ipsiIC	MG240214	tissue
slide3section1contraIC	MG240214	tissue
slide3section1ipsiIC	MG240214	tissue
slide3section3MGN	MG240214	tissue
slide3section4MGN	MG240214	tissue
slide3section5MGN	MG240214	tissue
slide3section6MGN	MG240214	tissue
slide3section7MGN	MG240214	tissue
slide3section8MGN	MG240214	tissue
slide1section10contraCN	MG240920	tissue
slide1section10ipsiCN	MG240920	tissue
slide1section10IC	MG240920	tissue
slide1section5contraCN	MG240920	tissue
slide1section5ipsiCN	MG240920	tissue
slide1section5IC	MG240920	tissue
slide1section6contraCN	MG240920	tissue
slide1section6ipsiCN	MG240920	tissue
slide1section6IC	MG240920	tissue
slide1section7contraCN	MG240920	tissue
slide1section7ipsiCN	MG240920	tissue
slide1section7IC	MG240920	tissue
slide1section8contraCN	MG240920	tissue
slide1section8ipsiCN	MG240920	tissue
slide1section8IC	MG240920	tissue
slide1section9contraCN	MG240920	tissue
slide1section9ipsiCN	MG240920	tissue
slide1section9IC	MG240920	tissue
slide2section1contraCN	MG240920	tissue
slide2section1IC	MG240920	tissue
slide2section2contraCN	MG240920	tissue
slide2section2contraIC	MG240920	tissue
slide2section2ipsiIC	MG240920	tissue
slide2section3contraCN	MG240920	tissue
slide2section3contraIC	MG240920	tissue
slide2section3ipsiIC	MG240920	tissue
slide2section4contraCN	MG240920	tissue
slide2section4contraIC	MG240920	tissue
slide2section4ipsiIC	MG240920	tissue
slide2section5contraCN	MG240920	tissue
slide2section5contraIC	MG240920	tissue
slide2section5ipsiIC	MG240920	tissue
slide2section6contraIC	MG240920	tissue
slide2section6ipsiIC	MG240920	tissue
slide2section7contraIC	MG240920	tissue
slide2section7ipsiIC	MG240920	tissue
slide2section8contraIC	MG240920	tissue
slide2section8ipsiIC	MG240920	tissue
slide3section1MGN	MG240920	tissue
slide3section2MGN	MG240920	tissue
slide3section3MGN	MG240920	tissue
slide3section4MGN	MG240920	tissue
slide3section5MGN	MG240920	tissue
slide3section6MGN	MG240920	tissue
slide2section10ipsiIC	HK210102	tissue
slide2section11ipsiIC	HK210102	tissue
slide2section12ipsiIC	HK210102	tissue
slide2section13ipsiIC	HK210102	tissue
slide2section14ipsiIC	HK210102	tissue
slide2section5ipsiIC	HK210102	tissue
slide2section6ipsiIC	HK210102	tissue
slide2section7ipsiIC	HK210102	tissue
slide2section8ipsiIC	HK210102	tissue
slide2section9ipsiIC	HK210102	tissue
slide3section10MGN	HK210102	tissue
slide3section11MGN	HK210102	tissue
slide3section12MGN	HK210102	tissue
slide3section1ipsiIC	HK210102	tissue
slide3section2ipsiIC	HK210102	tissue
slide3section3ipsiIC	HK210102	tissue
slide3section8MGN	HK210102	tissue
slide3section9MGN	HK210102	tissue
slide4section1MGN	HK210102	tissue
slide4section2MGN	HK210102	tissue
slide1section10IC	MG240609	tissue
slide1section1contraCN	MG240609	tissue
slide1section1ipsiCN	MG240609	tissue
slide1section2contraCN	MG240609	tissue
slide1section2ipsiCN	MG240609	tissue
slide1section3contraCN	MG240609	tissue
slide1section3ipsiCN	MG240609	tissue
slide1section4contraCN	MG240609	tissue
slide1section4ipsiCN	MG240609	tissue
slide1section5contraCN	MG240609	tissue
slide1section6contraCN	MG240609	tissue
slide1section6ipsiCN	MG240609	tissue
slide1section6IC	MG240609	tissue
slide1section7contraCN	MG240609	tissue
slide1section7ipsiCN	MG240609	tissue
slide1section7IC	MG240609	tissue
slide1section8contraCN	MG240609	tissue
slide1section8ipsiCN	MG240609	tissue
slide1section8IC	MG240609	tissue
slide1section9IC	MG240609	tissue
slide2section10MGN	MG240609	tissue
slide2section1IC	MG240609	tissue
slide2section2IC	MG240609	tissue
slide2section3IC	MG240609	tissue
slide2section4IC	MG240609	tissue
slide2section5IC	MG240609	tissue
slide2section6contraIC	MG240609	tissue
slide2section6ipsiIC	MG240609	tissue
slide2section7contraIC	MG240609	tissue
slide2section7ipsiIC	MG240609	tissue
slide2section8contraIC	MG240609	tissue
slide2section8ipsiIC	MG240609	tissue
slide2section9contraIC	MG240609	tissue
slide2section9ipsiIC	MG240609	tissue
slide3section1MGN	MG240609	tissue
slide3section2MGN	MG240609	tissue
slide3section3MGN	MG240609	tissue
slide3section4MGN	MG240609	tissue
slide3section5MGN	MG240609	tissue
slide3section6MGN	MG240609	tissue
slide1section10contraCN	MG240903	tissue
slide1section10ipsiCN	MG240903	tissue
slide1section7contraCN	MG240903	tissue
slide1section7ipsiCN	MG240903	tissue
slide1section8contraCN	MG240903	tissue
slide1section8ipsiCN	MG240903	tissue
slide1section9contraCN	MG240903	tissue
slide1section9ipsiCN	MG240903	tissue
slide2section1contraCN	MG240903	tissue
slide2section1ipsiCN	MG240903	tissue
slide2section1IC	MG240903	tissue
slide2section2contraCN	MG240903	tissue
slide2section2ipsiCN	MG240903	tissue
slide2section2IC	MG240903	tissue
slide2section3contraCN	MG240903	tissue
slide2section3ipsiCN	MG240903	tissue
slide2section3IC	MG240903	tissue
slide2section4contraCN	MG240903	tissue
slide2section4ipsiCN	MG240903	tissue
slide2section4IC	MG240903	tissue
slide2section5contraCN	MG240903	tissue
slide2section5IC	MG240903	tissue
slide2section6contraCN	MG240903	tissue
slide2section6IC	MG240903	tissue
slide2section7IC	MG240903	tissue
slide3section3MGN	MG240903	tissue
slide3section4MGN	MG240903	tissue
slide3section5MGN	MG240903	tissue
slide3section6MGN	MG240903	tissue
slide3section7MGN	MG240903	tissue
slide3section8MGN	MG240903	tissue
slide3section3MGN	MG240607	tissue
slide3section4MGN	MG240607	tissue
slide3section5MGN	MG240607	tissue
slide3section6MGN	MG240607	tissue
slide3section7MGN	MG240607	tissue
slide4section3IC	MG240607	tissue
slide4section4IC	MG240607	tissue
slide4section5IC	MG240607	tissue
slide4section6IC	MG240607	tissue
slide4section7IC	MG240607	tissue
slide4section8IC	MG240607	tissue
slide5section1IC	MG240607	tissue
slide5section2IC	MG240607	tissue
slide5section3IC	MG240607	tissue
slide5section4IC	MG240607	tissue
slide5section6IC	MG240607	tissue
slide5section7IC	MG240607	tissue
slide1section7contraCN	MG240910	tissue
slide1section7ipsiCN	MG240910	tissue
slide1section7IC	MG240910	tissue
slide1section8contraCN	MG240910	tissue
slide1section8ipsiCN	MG240910	tissue
slide1section8IC	MG240910	tissue
slide2section1contraCN	MG240910	tissue
slide2section1ipsiCN	MG240910	tissue
slide2section1IC	MG240910	tissue
slide2section2contraCN	MG240910	tissue
slide2section2ipsiCN	MG240910	tissue
slide2section2IC	MG240910	tissue
slide2section3contraCN	MG240910	tissue
slide2section3IC	MG240910	tissue
slide2section4contraCN	MG240910	tissue
slide2section4IC	MG240910	tissue
slide2section5IC	MG240910	tissue
slide2section6IC	MG240910	tissue
slide2section7IC	MG240910	tissue
slide2section8IC	MG240910	tissue
slide3section6MGN	MG240910	tissue
slide1section10contraCN	MG240913	tissue
slide1section10ipsiCN	MG240913	tissue
slide1section10IC	MG240913	tissue
slide1section2contraCN	MG240913	tissue
slide1section2ipsiCN	MG240913	tissue
slide1section3contraCN	MG240913	tissue
slide1section3ipsiCN	MG240913	tissue
slide1section4contraCN	MG240913	tissue
slide1section4ipsiCN	MG240913	tissue
slide1section5contraCN	MG240913	tissue
slide1section5ipsiCN	MG240913	tissue
slide1section6contraCN	MG240913	tissue
slide1section6ipsiCN	MG240913	tissue
slide1section7contraCN	MG240913	tissue
slide1section7ipsiCN	MG240913	tissue
slide1section8contraCN	MG240913	tissue
slide1section8ipsiCN	MG240913	tissue
slide1section9contraCN	MG240913	tissue
slide1section9ipsiCN	MG240913	tissue
slide1section9IC	MG240913	tissue
slide2section1contraCN	MG240913	tissue
slide2section1ipsiCN	MG240913	tissue
slide2section1IC	MG240913	tissue
slide2section2contraCN	MG240913	tissue
slide2section2ipsiCN	MG240913	tissue
slide2section2IC	MG240913	tissue
slide2section3IC	MG240913	tissue
slide2section4IC	MG240913	tissue
slide2section5IC	MG240913	tissue
slide2section6IC	MG240913	tissue
slide2section7IC	MG240913	tissue
slide2section8IC	MG240913	tissue
slide2section9IC	MG240913	tissue
slide3section5MGN	MG240913	tissue
